match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Schmidt et al._2013_171,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_753,Schmidt et al._2013_754,2,3
Schmidt et al._2013_172,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_755,Schmidt et al._2013_756,2,4
Schmidt et al._2013_173,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_757,Schmidt et al._2013_758,1,3
Schmidt et al._2013_174,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_759,Schmidt et al._2013_760,2,3
Schmidt et al._2013_175,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_761,Schmidt et al._2013_762,1,3
Schmidt et al._2013_176,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_763,Schmidt et al._2013_764,1,3
Schmidt et al._2013_177,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_765,Schmidt et al._2013_766,2,4
Schmidt et al._2013_178,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_767,Schmidt et al._2013_768,2,4
Schmidt et al._2013_179,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_769,Schmidt et al._2013_770,2,4
Schmidt et al._2013_180,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_771,Schmidt et al._2013_772,1,3
Schmidt et al._2013_181,Schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,Schmidt et al._2013_693,Schmidt et al._2013_694,2,4
